1,0.325000 742.171204 0.000037 0.337500 754.122742 0.000255 0.350000 748.005615 0.000724 0.362500 771.851807 0.001076 0.375000 775.582825 0.001291 0.387500 774.380127 0.001569 0.400000 791.353210 0.000931 0.412500 818.947632 0.000934 0.425000 815.018372 0.001015 0.437500 814.166931 0.001084 0.450000 813.249084 0.001275 0.462500 812.588928 0.001615 0.475000 813.389099 0.001833 0.487500 814.986267 0.001678 0.500000 823.763123 0.001302 0.512500 822.901184 0.000763 0.550000 825.057068 0.000499 0.562500 822.153381 0.000430 0.575000 796.296936 0.001716 0.587500 793.033203 0.001982 0.600000 786.295654 0.002788 0.612500 786.137756 0.002820 0.625000 787.818176 0.002300 0.637500 790.831177 0.001847 0.650000 791.334290 0.001673 0.662500 788.297241 0.001527 0.687500 799.786072 0.000699 0.700000 796.222656 0.000493 0.712500 813.101379 0.000312 0.750000 792.708984 0.000978 0.762500 795.826538 0.000692 0.775000 794.387146 0.000515 0.787500 790.359497 0.000529 0.800000 793.339417 0.000496 0.812500 792.568298 0.000524 0.837500 785.700378 0.000868 0.875000 790.358948 0.000623 0.887500 794.812195 0.000465 0.900000 794.794495 0.000370 0.912500 790.299133 0.000355 0.925000 788.440125 0.000341 0.937500 791.821045 0.000331 0.950000 794.478333 0.000372 0.962500 793.143372 0.000387 0.987500 780.398926 0.000301 1.000000 780.398926 0.000000;
2,0.325000 525.260254 0.000086 0.337500 527.634460 0.000583 0.350000 528.747864 0.001782 0.362500 552.156006 0.002148 0.375000 552.712646 0.003461 0.387500 578.422485 0.004092 0.400000 605.704346 0.008505 0.412500 600.301880 0.012906 0.425000 593.407959 0.013782 0.437500 589.514526 0.013262 0.450000 586.673157 0.013065 0.462500 584.968811 0.013653 0.475000 584.882080 0.015128 0.487500 586.691284 0.016195 0.500000 589.068848 0.015691 0.512500 588.988708 0.013437 0.525000 588.962524 0.010725 0.537500 590.907349 0.007772 0.550000 591.749512 0.005072 0.562500 591.907166 0.004160 0.575000 592.473450 0.005335 0.587500 589.458740 0.007125 0.600000 586.869568 0.008903 0.612500 586.839417 0.010094 0.625000 587.343140 0.010586 0.637500 586.860168 0.010323 0.650000 586.195496 0.009162 0.662500 586.839966 0.007289 0.675000 587.304688 0.005458 0.687500 587.488953 0.003933 0.700000 589.681885 0.002708 0.712500 591.739197 0.001961 0.725000 591.190430 0.001639 0.737500 590.177917 0.001665 0.750000 589.898132 0.001831 0.762500 589.496704 0.002007 0.775000 590.007202 0.002094 0.787500 591.031006 0.002009 0.800000 591.306641 0.001701 0.812500 590.380798 0.001286 0.825000 589.757690 0.001001 0.837500 588.559753 0.000954 0.850000 587.280884 0.001027 0.862500 587.871887 0.001061 0.875000 587.587585 0.001068 0.887500 586.147766 0.001120 0.900000 586.414917 0.001168 0.912500 587.838867 0.001195 0.925000 588.290833 0.001225 0.937500 588.122375 0.001217 0.950000 587.548096 0.001154 0.962500 586.374939 0.001083 0.975000 585.274841 0.001048 0.987500 585.511841 0.000997 1.000000 586.380615 0.000906 1.012500 586.670715 0.000786 1.025000 586.325195 0.000660 1.037500 585.914246 0.000551 1.050000 586.349976 0.000467 1.062500 587.854248 0.000409 1.075000 589.276978 0.000367 1.087500 588.726685 0.000317 1.100000 586.877075 0.000271 1.112500 586.119629 0.000242 1.125000 586.741577 0.000221 1.137500 587.217834 0.000197 1.150000 586.289246 0.000163 1.162500 585.183533 0.000132 1.175000 585.624878 0.000111 1.187500 587.399292 0.000106 1.200000 586.897766 0.000112 1.212500 585.167542 0.000124 1.225000 586.022888 0.000122 1.237500 589.189270 0.000104 1.250000 588.436096 0.000077 1.262500 581.985413 0.000061 1.275000 578.437622 0.000058 1.287500 585.768555 0.000045 1.300000 597.504456 0.000042 1.312500 597.504456 0.000000;
3,0.325000 402.513245 0.000064 0.337500 406.044617 0.000505 0.350000 404.295227 0.001997 0.362500 403.987976 0.005085 0.375000 405.476318 0.009322 0.387500 407.248871 0.013593 0.400000 408.332214 0.017502 0.412500 408.569763 0.021615 0.425000 408.313293 0.026580 0.437500 407.656433 0.030797 0.450000 406.457520 0.031701 0.462500 405.665192 0.029181 0.475000 405.623810 0.025172 0.487500 405.806274 0.020991 0.500000 405.182220 0.016580 0.512500 404.715149 0.012563 0.525000 405.992157 0.009574 0.537500 408.677917 0.007720 0.550000 408.196228 0.005949 0.562500 405.531403 0.004652 0.575000 404.270203 0.003877 0.587500 402.123138 0.002942 0.600000 399.897797 0.002127 0.612500 401.894989 0.001397 0.625000 386.034485 0.001500 0.637500 389.803375 0.001665 0.650000 404.701538 0.002373 0.662500 402.901855 0.002246 0.675000 410.124146 0.001920 0.687500 422.604340 0.002394 0.700000 432.043335 0.002657 0.712500 433.273010 0.002881 0.725000 433.498474 0.002780 0.737500 438.423279 0.002303 0.750000 443.700287 0.002033 0.762500 444.609833 0.001905 0.775000 442.043152 0.001796 0.787500 439.605499 0.001618 0.800000 441.552704 0.001233 0.812500 447.007874 0.000978 0.825000 448.880737 0.000854 0.837500 445.163208 0.000716 0.850000 442.344238 0.000686 0.862500 442.008484 0.000656 0.875000 441.587708 0.000576 0.887500 442.500336 0.000441 0.900000 448.270477 0.000323 0.912500 447.110687 0.000259 0.925000 431.678162 0.000347 0.937500 433.139465 0.000455 0.950000 427.105988 0.000401 0.962500 424.525757 0.000304 0.975000 422.217346 0.000293 1.012500 404.459229 0.000221 1.025000 410.299927 0.000173 1.037500 423.201447 0.000192 1.050000 427.733551 0.000227 1.062500 428.512634 0.000251 1.075000 427.737976 0.000241 1.087500 428.892334 0.000203 1.100000 429.990662 0.000160 1.112500 425.223602 0.000119 1.125000 421.641693 0.000106 1.137500 424.711426 0.000101 1.150000 427.533875 0.000118 1.162500 426.146790 0.000120 1.175000 427.131165 0.000105 1.187500 432.462585 0.000091 1.200000 438.973053 0.000096 1.212500 439.974762 0.000098 1.225000 440.679016 0.000103 1.237500 442.313416 0.000113 1.250000 440.674988 0.000104 1.262500 434.338470 0.000085 1.275000 432.322113 0.000076 1.287500 433.157349 0.000067 1.300000 438.794434 0.000054 1.312500 448.431763 0.000038 1.325000 478.410583 0.000083 1.362500 465.066528 0.000060 1.375000 463.758057 0.000047 1.387500 460.715485 0.000039 1.400000 460.715485 0.000000;
4,0.325000 342.190338 0.000047 0.337500 344.451538 0.000249 0.350000 348.452606 0.000918 0.362500 347.270660 0.002428 0.375000 346.753418 0.004787 0.387500 347.677399 0.007581 0.400000 348.157318 0.009973 0.412500 348.956146 0.010356 0.425000 353.190796 0.008219 0.437500 359.663910 0.005680 0.450000 367.968323 0.004806 0.462500 373.533173 0.004977 0.475000 370.574127 0.004361 0.487500 362.629730 0.005015 0.500000 348.904053 0.010211 0.512500 349.151520 0.012967 0.525000 348.269928 0.013948 0.537500 347.410950 0.014175 0.550000 347.148956 0.013880 0.562500 347.502380 0.012212 0.575000 346.266663 0.009158 0.587500 341.762115 0.006390 0.600000 339.458221 0.005005 0.612500 342.265930 0.004711 0.625000 345.896912 0.006087 0.637500 348.252350 0.007614 0.650000 348.998413 0.007796 0.662500 349.654541 0.006576 0.675000 351.037689 0.004750 0.687500 354.479004 0.003030 0.700000 357.309235 0.002041 0.712500 355.929443 0.001838 0.725000 351.522064 0.002432 0.737500 349.733582 0.003061 0.750000 349.806091 0.003151 0.762500 350.090240 0.002807 0.775000 351.372925 0.002185 0.787500 355.087372 0.001560 0.800000 356.547852 0.001229 0.812500 354.761658 0.001189 0.825000 350.907074 0.001339 0.837500 350.638733 0.001359 0.850000 351.643097 0.001215 0.862500 352.211151 0.001005 0.875000 352.890564 0.000801 0.887500 354.634918 0.000656 0.900000 355.281250 0.000602 0.912500 353.541779 0.000617 0.925000 350.228943 0.000667 0.937500 348.397186 0.000698 0.950000 348.568237 0.000694 0.962500 350.259003 0.000661 0.975000 355.972656 0.000576 0.987500 359.500061 0.000457 1.000000 356.161835 0.000310 1.012500 349.402283 0.000324 1.025000 346.807220 0.000397 1.037500 350.531219 0.000375 1.050000 352.974976 0.000311 1.062500 353.428925 0.000247 1.075000 352.314301 0.000206 1.087500 351.978333 0.000180 1.100000 352.986053 0.000163 1.112500 353.384399 0.000161 1.125000 352.293427 0.000158 1.137500 351.533234 0.000147 1.150000 351.734497 0.000137 1.162500 351.144836 0.000131 1.175000 349.653168 0.000123 1.187500 347.632019 0.000103 1.200000 344.364746 0.000079 1.212500 374.016510 0.000036 1.225000 396.009277 0.000081 1.250000 345.884949 0.000107 1.275000 352.067413 0.000097 1.287500 353.451447 0.000083 1.300000 354.175385 0.000072 1.312500 354.843262 0.000060 1.325000 354.907806 0.000050 1.337500 353.778900 0.000046 1.350000 352.177795 0.000044 1.362500 352.199860 0.000042 1.375000 351.877808 0.000040 1.387500 350.898773 0.000035 1.400000 350.898773 0.000000;
5,0.325000 142.394180 0.000238 0.337500 154.153183 0.001807 0.350000 160.301804 0.006478 0.362500 157.960922 0.016538 0.375000 155.458328 0.032479 0.387500 155.937668 0.049077 0.400000 158.432602 0.063442 0.412500 159.385254 0.075445 0.425000 159.832718 0.080909 0.437500 159.382126 0.078742 0.450000 158.316650 0.076103 0.462500 158.406525 0.084257 0.475000 159.567261 0.107315 0.487500 160.794357 0.137877 0.500000 161.211533 0.164385 0.512500 161.164337 0.181416 0.525000 161.174271 0.189253 0.537500 161.080765 0.188260 0.550000 160.753220 0.182411 0.562500 160.483521 0.172832 0.575000 160.496262 0.158793 0.587500 160.467834 0.141262 0.600000 160.241516 0.122813 0.612500 159.785492 0.106345 0.625000 158.885620 0.093282 0.637500 158.640305 0.085233 0.650000 158.674667 0.082235 0.662500 159.168518 0.084062 0.675000 159.566071 0.089915 0.687500 159.746643 0.097711 0.700000 159.998245 0.104373 0.712500 160.375656 0.108899 0.725000 160.620010 0.111472 0.737500 160.775009 0.111501 0.750000 160.786102 0.108378 0.762500 160.710358 0.103137 0.775000 160.674576 0.096249 0.787500 160.557449 0.087625 0.800000 160.449722 0.078992 0.812500 160.270035 0.071174 0.825000 159.959778 0.063560 0.837500 159.649216 0.056306 0.850000 159.178864 0.050221 0.862500 158.852341 0.045381 0.875000 158.630417 0.041701 0.887500 158.750931 0.039571 0.900000 159.116348 0.038653 0.912500 159.431030 0.038474 0.925000 159.699295 0.038835 0.937500 159.964478 0.039047 0.950000 160.097717 0.038449 0.962500 160.183868 0.037265 0.975000 160.226273 0.035520 0.987500 160.285507 0.032828 1.000000 160.424683 0.029489 1.012500 160.501343 0.026195 1.025000 160.470596 0.023181 1.037500 160.228394 0.020380 1.050000 159.765701 0.017869 1.062500 159.207886 0.015575 1.075000 158.604523 0.013442 1.087500 158.389175 0.011745 1.100000 158.339310 0.010606 1.112500 158.673019 0.009893 1.125000 159.144135 0.009495 1.137500 159.504486 0.009280 1.150000 159.788162 0.009032 1.162500 160.039490 0.008651 1.175000 160.248779 0.008147 1.187500 160.489990 0.007493 1.200000 160.601974 0.006720 1.212500 160.489212 0.005943 1.225000 160.286453 0.005174 1.237500 160.034775 0.004363 1.250000 159.885483 0.003588 1.262500 159.538528 0.002944 1.275000 158.742691 0.002464 1.287500 158.067200 0.002134 1.300000 157.616760 0.001900 1.312500 158.319214 0.001680 1.325000 159.067963 0.001497 1.337500 159.683060 0.001416 1.350000 160.167023 0.001435 1.362500 160.295685 0.001498 1.375000 160.228958 0.001552 1.387500 160.304688 0.001553 1.400000 160.382141 0.001486 1.412500 160.516693 0.001381 1.425000 160.703842 0.001261 1.437500 160.688705 0.001126 1.450000 160.525742 0.000990 1.462500 160.130325 0.000859 1.475000 159.590027 0.000726 1.487500 158.934784 0.000596 1.500000 158.113861 0.000493 1.512500 157.613998 0.000429 1.525000 157.339233 0.000405 1.537500 158.051697 0.000410 1.550000 158.997604 0.000427 1.562500 159.699936 0.000445 1.575000 160.175430 0.000459 1.587500 160.540436 0.000465 1.600000 160.706390 0.000457 1.612500 160.786179 0.000441 1.625000 160.734222 0.000418 1.637500 160.577393 0.000385 1.650000 160.433060 0.000342 1.662500 160.225662 0.000294 1.675000 159.989777 0.000247 1.687500 159.565582 0.000202 1.700000 159.027939 0.000166 1.712500 158.445740 0.000141 1.725000 158.065704 0.000126 1.737500 158.400284 0.000121 1.750000 158.946579 0.000124 1.762500 159.563385 0.000129 1.775000 160.081070 0.000135 1.787500 160.475616 0.000138 1.800000 160.785172 0.000138 1.812500 160.944443 0.000135 1.825000 160.937424 0.000130 1.837500 160.865280 0.000122 1.850000 160.692734 0.000111 1.862500 160.429260 0.000099 1.875000 160.212006 0.000085 1.887500 160.136139 0.000070 1.900000 160.163422 0.000055 1.912500 160.017700 0.000043 1.925000 159.354996 0.000034 1.937500 159.354996 0.000000;
6,0.337500 2008.443359 0.000034 0.350000 2004.642578 0.000122 0.362500 2002.360962 0.000264 0.375000 2000.023926 0.000426 0.387500 1999.851685 0.000599 0.400000 2001.190063 0.000813 0.412500 2002.557861 0.001072 0.425000 2002.584229 0.001246 0.437500 2002.385864 0.001218 0.450000 2003.131958 0.001007 0.462500 2003.946045 0.000753 0.475000 2004.224854 0.000560 0.487500 2005.118164 0.000424 0.500000 2007.766968 0.000301 0.512500 2008.297852 0.000189 0.525000 2005.596802 0.000133 0.537500 2002.334473 0.000162 0.550000 2001.239380 0.000209 0.562500 2002.620972 0.000210 0.575000 2004.213745 0.000165 0.587500 2003.742432 0.000123 0.600000 2001.848633 0.000129 0.612500 2000.160034 0.000163 0.625000 2002.810547 0.000166 0.637500 2002.546265 0.000129 0.650000 1999.294312 0.000089 0.662500 1995.385254 0.000073 0.675000 1998.100464 0.000058 0.687500 2000.335449 0.000047 0.700000 1998.832153 0.000039 0.712500 1993.486938 0.000034 0.725000 1993.486938 0.000000;
7,0.337500 1647.130493 0.000056 0.350000 1656.791870 0.000167 0.362500 1661.814209 0.000318 0.375000 1666.279419 0.000438 0.387500 1670.867065 0.000510 0.400000 1673.402954 0.000572 0.412500 1671.597900 0.000627 0.425000 1669.672852 0.000809 0.437500 1669.468872 0.001064 0.450000 1668.619507 0.001197 0.462500 1665.020264 0.001136 0.475000 1662.668091 0.001038 0.487500 1662.808350 0.000922 0.500000 1664.686401 0.000790 0.512500 1664.910400 0.000627 0.525000 1663.825195 0.000460 0.537500 1663.104858 0.000335 0.550000 1664.082642 0.000246 0.562500 1665.508057 0.000193 0.575000 1665.470581 0.000158 0.587500 1663.870361 0.000137 0.600000 1663.737915 0.000136 0.612500 1662.780029 0.000137 0.625000 1655.679810 0.000124 0.637500 1652.844849 0.000110 0.650000 1654.009888 0.000089 0.662500 1661.919800 0.000085 0.675000 1663.184570 0.000084 0.687500 1659.441528 0.000076 0.700000 1656.526123 0.000075 0.712500 1653.693481 0.000063 0.725000 1645.687988 0.000046 0.737500 1642.195923 0.000035 0.750000 1642.195923 0.000000;
8,0.337500 1337.997314 0.000061 0.350000 1341.402466 0.000208 0.362500 1337.661987 0.000440 0.375000 1334.935303 0.000664 0.387500 1333.868286 0.000786 0.400000 1336.841309 0.000784 0.412500 1340.948730 0.000848 0.425000 1345.601807 0.001025 0.437500 1345.773560 0.001126 0.450000 1343.632324 0.001144 0.462500 1340.296997 0.001156 0.475000 1337.722900 0.001104 0.487500 1337.826416 0.000903 0.500000 1339.264771 0.000647 0.512500 1339.854004 0.000421 0.525000 1336.286743 0.000255 0.537500 1332.084473 0.000197 0.550000 1313.567139 0.000316 0.562500 1315.938599 0.000269 0.575000 1320.438477 0.000192 0.587500 1327.804932 0.000182 0.600000 1335.242554 0.000202 0.612500 1339.400635 0.000179 0.625000 1341.719971 0.000135 0.637500 1336.906494 0.000087 0.650000 1334.549194 0.000075 0.662500 1338.665161 0.000086 0.675000 1347.173950 0.000116 0.687500 1352.220459 0.000110 0.700000 1354.583252 0.000083 0.712500 1355.391968 0.000064 0.725000 1355.577393 0.000056 0.737500 1359.024902 0.000049 0.750000 1361.301147 0.000046 0.762500 1359.098145 0.000043 0.775000 1355.787842 0.000041 0.787500 1358.059326 0.000034 0.800000 1358.059326 0.000000;
9,0.337500 1183.038818 0.000079 0.350000 1183.377808 0.000353 0.362500 1181.362671 0.000870 0.375000 1175.764404 0.001361 0.387500 1192.644897 0.001087 0.400000 1193.473022 0.001068 0.412500 1170.531860 0.002568 0.425000 1173.977661 0.003168 0.437500 1173.851074 0.003272 0.450000 1170.713013 0.002855 0.462500 1168.904297 0.002521 0.475000 1168.894165 0.002326 0.487500 1169.360474 0.002064 0.500000 1168.183960 0.001601 0.512500 1166.887817 0.001170 0.525000 1166.916870 0.000953 0.537500 1168.028931 0.000886 0.550000 1168.046387 0.000811 0.562500 1167.327515 0.000689 0.575000 1168.525269 0.000559 0.587500 1171.521118 0.000482 0.600000 1172.761475 0.000441 0.612500 1173.278687 0.000393 0.625000 1172.911133 0.000319 0.637500 1171.396851 0.000253 0.650000 1170.041138 0.000224 0.662500 1187.231934 0.000194 0.675000 1190.385742 0.000264 0.687500 1191.212158 0.000298 0.700000 1190.420166 0.000273 0.712500 1188.756592 0.000196 0.725000 1187.129517 0.000107 0.737500 1186.260864 0.000051 0.750000 1163.804688 0.000036 0.762500 1193.484497 0.000037 0.775000 1188.546143 0.000044 0.787500 1186.386841 0.000056 0.800000 1187.641602 0.000056 0.812500 1186.952026 0.000044 0.825000 1185.379517 0.000033 0.837500 1186.759644 0.000033 0.850000 1187.859619 0.000044 0.862500 1184.578857 0.000056 0.875000 1182.961548 0.000062 0.887500 1183.195923 0.000054 0.900000 1182.957642 0.000038 0.912500 1182.957642 0.000000;
10,0.337500 1120.345459 0.000057 0.350000 1125.524170 0.000174 0.362500 1129.120117 0.000346 0.375000 1130.668579 0.000514 0.387500 1129.889526 0.000630 0.400000 1129.091431 0.000773 0.412500 1128.353394 0.000934 0.425000 1127.713257 0.001060 0.437500 1127.253296 0.001105 0.450000 1127.241699 0.001031 0.462500 1128.318481 0.000815 0.475000 1135.741821 0.000543 0.487500 1117.159546 0.000185 0.525000 1125.516968 0.000340 0.537500 1127.972046 0.000367 0.550000 1127.819336 0.000374 0.562500 1125.229614 0.000359 0.575000 1123.167603 0.000300 0.587500 1124.753540 0.000181 0.600000 1140.899170 0.000126 0.625000 1147.822632 0.000167 0.662500 1163.088257 0.000188 0.675000 1163.088257 0.000000;
